name_of_audio,speaking_time,word_count,avarage_word
E2_P1.wav,35.9,92,2.563
E3_P1.wav,32.35,92,2.844
E2_P10.wav,51.7,118,2.282
E3_P10.wav,49.7,118,2.374
E2_P11.wav,47.9,105,2.192
E3_P11.wav,44.7,105,2.349
E1_P12.wav,31.929,67,2.098
E2_P12.wav,29.6,67,2.264
E3_P12.wav,30.35,67,2.208
E2_P13.wav,38.35,81,2.112
E3_P13.wav,36.5,81,2.219
E3_P14.wav,40.85,107,2.619
E3_P15.wav,34.85,88,2.525
E3_P16.wav,64.1,151,2.356
E3_P2.wav,27.65,81,2.929
E2_P3.wav,41.4,93,2.246
E3_P3.wav,41.05,93,2.266
E1_P4.wav,25.026,53,2.118
E2_P4.wav,22.75,53,2.33
E3_P4.wav,20.65,53,2.567
E1_P5.wav,35.845,77,2.148
E2_P5.wav,35.35,77,2.178
E3_P5.wav,35.3,77,2.181
E1_P6.wav,30.7,71,2.313
E3_P6.wav,27.95,71,2.54
E1_P7.wav,29.427,75,2.549
E3_P7.wav,26.35,75,2.846
E1_P8.wav,26.003,55,2.115
E2_P8.wav,26.25,55,2.095
E3_P8.wav,26.85,55,2.048
E3_P9.wav,26.7,51,1.91
S100_P1_F.wav,35.838,92,2.567
S13_P1_f.wav,37.925,92,2.426
S15_P1_F.wav,36.626,92,2.512
S1_P1_F.wav,37.15,92,2.476
S2_P1_F.wav,44.45,92,2.07
S30_P1_f.wav,37.1,92,2.48
S33_P1_f.wav,37.55,92,2.45
S34_P1_F.wav,32.25,92,2.853
S3_P1_F.wav,48.95,92,1.879
s40_p1_m.wav,38.35,92,2.399
s41_p1_f.wav,35.35,92,2.603
S42_P1_F.wav,31.9,92,2.884
s45_p1_f.wav,36.05,92,2.552
s47_p1_m.wav,36.4,92,2.527
S52_P1_F.wav,31.05,92,2.963
S53_P1_F.wav,47.222,92,1.948
S57_P1_F.wav,50.2,92,1.833
S59_P1_F.wav,35.4,92,2.599
S60_P1_F.wav,32.15,92,2.862
S62_P1_F.wav,54.1,92,1.701
S63_P1_F.wav,35.3,92,2.606
S64_P1_F.wav,45.05,92,2.042
S66_P1_F.wav,43.35,92,2.122
S67_P1_F.wav,36.5,92,2.521
S68_P1_F.wav,38.85,92,2.368
S69_P1_M.wav,37.35,92,2.463
S6_P1_F.wav,40.8,92,2.255
S74_P1_F.wav,40.25,92,2.286
S77_P1_F.wav,33.45,92,2.75
S80_P1_F.wav,50.45,92,1.824
S82_P1_F.wav,44.55,92,2.065
S100_P10_F.wav,52.25,118,2.258
S13_P10_f.wav,56.75,118,2.079
S15_P10_F.wav,58.226,118,2.027
S1_P10_F.wav,56.8,118,2.077
S2_P10_F.wav,58.5,118,2.017
S30_P10_f.wav,49.9,118,2.365
S33_P10_f.wav,52.2,118,2.261
S34_P10_F.wav,25.15,118,4.692
S3_P10_F.wav,78.938,118,1.495
s40_p10_m.wav,58.3,118,2.024
s41_p10_f.wav,53.95,118,2.187
S42_P10_F.wav,52.0,118,2.269
s45_p10_f.wav,52.3,118,2.256
s47_p10_m.wav,58.4,118,2.021
S52_P10_F.wav,46.6,118,2.532
S53_P10_F.wav,73.95,118,1.596
S57_P10_F.wav,53.85,118,2.191
S59_P10_F.wav,55.65,118,2.12
S60_P10_F.wav,53.85,118,2.191
S62_P10_F.wav,75.7,118,1.559
S63_P10_F.wav,53.157,118,2.22
S64_P10_F.wav,73.4,118,1.608
S66_P10_F.wav,65.1,118,1.813
S67_P10_F.wav,58.644,118,2.012
S68_P10_F.wav,66.25,118,1.781
S69_P10_M.wav,59.95,118,1.968
S6_P10_F.wav,51.55,118,2.289
S74_P10_F.wav,65.1,118,1.813
S77_P10_F.wav,62.75,118,1.88
S80_P10_F.wav,64.3,118,1.835
S82_P10_F.wav,70.25,118,1.68
s100_p11_f.wav,42.45,105,2.473
S13_P11_f.wav,50.2,105,2.092
s15_p11_f.wav,51.064,105,2.056
S1_P11_F.wav,52.6,105,1.996
S2_P11_F.wav,52.2,105,2.011
S30_P11_f.wav,44.75,105,2.346
S33_P11_f.wav,48.15,105,2.181
s34_p11_f.wav,46.2,105,2.273
S3_P11_F.wav,71.45,105,1.47
s41_p11_f.wav,49.6,105,2.117
s42_p11_f.wav,44.65,105,2.352
s45_p11_f.wav,46.0,105,2.283
s47_p11_m.wav,57.147,105,1.837
s52_p11_f.wav,41.95,105,2.503
s53_p11_f.wav,66.15,105,1.587
S57_P11_F.wav,50.2,105,2.092
s59_p11_f.wav,49.2,105,2.134
s60_p11-f.wav,48.05,105,2.134
s62_p11_f.wav,72.95,105,1.439
s63_p11_f.wav,50.05,105,2.098
s64_p11_f.wav,70.3,105,1.494
s66_p11_f.wav,63.0,105,1.667
s67_p11-f.wav,57.8,105,1.667
s68_p11_f.wav,56.7,105,1.852
s69_p11_m.wav,60.95,105,1.723
S6_P11_F.wav,52.0,105,2.019
s74_p11_f.wav,56.9,105,1.845
s77_p11_f.wav,55.55,105,1.89
s80_p11_f.wav,57.55,105,1.825
s82_p11_f.wav,66.9,105,1.57
s100_p12_f.wav,29.15,67,2.298
S13_P12_f.wav,30.3,67,2.211
s15_p12_f.wav,34.9,67,1.92
S1_P12_F.wav,35.05,67,1.912
S2_P12_F.wav,35.3,67,1.898
S30_P12_f.wav,29.592,67,2.264
S33_P12_f.wav,32.2,67,2.081
s34_p12_f.wav,27.7,67,2.419
S3_P12_F.wav,46.4,67,1.444
s41_p12_f.wav,33.95,67,1.973
s42_p12_f.wav,29.379,67,2.281
s45_p12_f.wav,30.05,67,2.23
s47_p12_m.wav,35.547,67,1.885
s52_p12_f.wav,27.55,67,2.432
S57_P12_F.wav,31.5,67,2.127
s59_p12_f.wav,31.0,67,2.161
s60_p12_f.wav,31.75,67,2.11
s62_p12_f.wav,47.85,67,1.4
s63_p12_f.wav,29.85,67,2.245
s64_p12_f.wav,42.5,67,1.576
s66_p12_f.wav,38.3,67,1.749
s67_p12_f.wav,37.05,67,1.808
s68_p12_f.wav,40.65,67,1.648
s69_P12_m.wav,41.5,67,1.614
S6_P12_F.wav,33.65,67,1.991
s74_p12_f.wav,34.95,67,1.917
s77_p12_f.wav,34.697,67,1.931
s80_p12_f.wav,35.1,67,1.909
s82_p12_f.wav,37.05,67,1.808
s100_p13_f.wav,38.35,81,2.112
S13_P13_f.wav,39.4,81,2.056
s15_p13_f.wav,42.156,81,1.921
S1_P13_F.wav,44.15,81,1.835
S2_P13_F.wav,41.8,81,1.938
S30_P13_f.wav,38.75,81,2.09
S33_P13_f.wav,39.75,81,2.038
s34_p13_f.wav,42.05,81,1.926
S3_P13_F.wav,54.25,81,1.493
s40_p13_m.wav,41.7,81,1.942
s41_p13_f.wav,41.7,81,1.942
s42_p13_f.wav,39.159,81,2.068
s45_p13_f.wav,38.2,81,2.12
s47_p13_m.wav,45.2,81,1.792
s52_p13_f.wav,32.786,81,2.471
s53_p13_f.wav,43.65,81,1.856
S57_P13_F.wav,40.3,81,2.01
s59_p13_f.wav,40.65,81,1.993
s60_p13_f.wav,40.8,81,1.985
s62_p13_f.wav,60.0,81,1.35
s63_p13_f.wav,45.6,81,1.776
s64_p13_f.wav,52.15,81,1.553
s66_p13_f.wav,47.75,81,1.696
s67_p13_f.wav,55.85,81,1.45
s68_p13_f.wav,40.95,81,1.978
s69_p13_m.wav,48.15,81,1.682
S6_P13_F.wav,43.2,81,1.875
s74_p13_f.wav,41.55,81,1.949
s77_p13_f.wav,48.4,81,1.674
s80_p13_f.wav,45.15,81,1.794
s82_p13_f.wav,48.45,81,1.672
s100_p14_f.wav,40.927,107,2.614
S13_P14_f.wav,46.55,107,2.299
s15_p14_f.wav,47.602,107,2.248
S1_P14_F.wav,49.9,107,2.144
S2_P14_F.wav,51.45,107,2.08
S30_P14_f.wav,45.3,107,2.362
S33_P14_f.wav,46.687,107,2.292
s34_p14_f.wav,41.8,107,2.56
S3_P14_F.wav,60.269,107,1.775
s40_p14_m.wav,49.65,107,2.155
s41_p14_f.wav,42.0,107,2.548
s42_p14_f.wav,43.1,107,2.483
s45_p14_f.wav,44.5,107,2.404
s47_p14_m.wav,52.35,107,2.044
s52_p14_f.wav,38.091,107,2.809
s53_p14_f.wav,58.4,107,1.832
